alert_id,alert_timestamp,alert_type,severity,sku_id,retailer_name,metric_name,threshold_value,actual_value,root_cause_narrative,status,assigned_to,assignment_comment,resolved_timestamp
ALERT-20250208-0012,2025-02-08 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A04,Kroger,DISTRIBUTION LOSS,5,13.26,ACV distribution for Brand A 16oz Premium at Kroger dropped 13.26 points. Possible delist or planogram reset.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20250208-0053,2025-02-08 08:00:00,OOS_BREACH,High,SKU-B09,CVS,OOS BREACH,5,9.02,OOS rate 9.02% at CVS exceeded 5% threshold for Brand B Value Fresh. DC safety stock may be depleted.,Resolved,john.smith@company.com,Please review and take action.,2025-02-13 00:00:00
ALERT-20250201-0080,2025-02-01 08:00:00,OOS_BREACH,High,SKU-C02,Costco,OOS BREACH,5,16.84,OOS rate 16.84% at Costco exceeded 5% threshold for Brand C 8oz Bold. DC safety stock may be depleted.,Open,,,
ALERT-20250201-0093,2025-02-01 08:00:00,PROMO_ROI_MISS,Medium,SKU-A09,CVS,PROMO ROI MISS,1,0.64,Promo ROI for Brand A Value Fresh at CVS came in at 0.64x vs 1x target. Trade spend below breakeven.,Acknowledged,,,
ALERT-20250125-0057,2025-01-25 08:00:00,VELOCITY_DECLINE,Medium,SKU-B08,Walmart,VELOCITY DECLINE,10,14.17,"Velocity for Brand B 12pk Pure at Walmart declined 14.17% week-over-week, below 10% threshold.",Resolved,sarah.jones@company.com,Please review and take action.,2025-01-27 00:00:00
ALERT-20250125-0066,2025-01-25 08:00:00,OOS_BREACH,High,SKU-C08,Amazon,OOS BREACH,5,15.93,OOS rate 15.93% at Amazon exceeded 5% threshold for Brand C 12pk Pure. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20250118-0014,2025-01-18 08:00:00,VELOCITY_DECLINE,Medium,SKU-A02,Costco,VELOCITY DECLINE,10,17.8,"Velocity for Brand A 8oz Bold at Costco declined 17.8% week-over-week, below 10% threshold.",Open,,,
ALERT-20241228-0021,2024-12-28 08:00:00,PROMO_ROI_MISS,Medium,SKU-B08,Amazon,PROMO ROI MISS,1,0.24,Promo ROI for Brand B 12pk Pure at Amazon came in at 0.24x vs 1x target. Trade spend below breakeven.,Assigned,mike.chen@company.com,Please review and take action.,
ALERT-20241228-0065,2024-12-28 08:00:00,PROMO_ROI_MISS,Medium,SKU-A09,Target,PROMO ROI MISS,1,0.61,Promo ROI for Brand A Value Fresh at Target came in at 0.61x vs 1x target. Trade spend below breakeven.,Assigned,mike.chen@company.com,Please review and take action.,
ALERT-20241221-0063,2024-12-21 08:00:00,PROMO_ROI_MISS,Medium,SKU-B06,CVS,PROMO ROI MISS,1,0.29,Promo ROI for Brand B 32oz Pro at CVS came in at 0.29x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20241214-0094,2024-12-14 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A04,Costco,DISTRIBUTION LOSS,5,9.81,ACV distribution for Brand A 16oz Premium at Costco dropped 9.81 points. Possible delist or planogram reset.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20241207-0060,2024-12-07 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B04,CVS,DISTRIBUTION LOSS,5,8.79,ACV distribution for Brand B 16oz Premium at CVS dropped 8.79 points. Possible delist or planogram reset.,Open,,,
ALERT-20241207-0101,2024-12-07 08:00:00,VELOCITY_DECLINE,Medium,SKU-C06,Kroger,VELOCITY DECLINE,10,16.68,"Velocity for Brand C 32oz Pro at Kroger declined 16.68% week-over-week, below 10% threshold.",Open,,,
ALERT-20241207-0102,2024-12-07 08:00:00,VELOCITY_DECLINE,Medium,SKU-B04,Target,VELOCITY DECLINE,10,11.12,"Velocity for Brand B 16oz Premium at Target declined 11.12% week-over-week, below 10% threshold.",Resolved,john.smith@company.com,Please review and take action.,2024-12-10 00:00:00
ALERT-20241130-0098,2024-11-30 08:00:00,OOS_BREACH,High,SKU-A01,Walmart,OOS BREACH,5,11.89,OOS rate 11.89% at Walmart exceeded 5% threshold for Brand A 4oz Original. DC safety stock may be depleted.,Resolved,mike.chen@company.com,Please review and take action.,2024-12-01 00:00:00
ALERT-20241123-0112,2024-11-23 08:00:00,PROMO_ROI_MISS,Medium,SKU-C10,Kroger,PROMO ROI MISS,1,0.66,Promo ROI for Brand C XL Wild at Kroger came in at 0.66x vs 1x target. Trade spend below breakeven.,Assigned,john.smith@company.com,Please review and take action.,
ALERT-20241116-0039,2024-11-16 08:00:00,VELOCITY_DECLINE,Medium,SKU-C10,Walmart,VELOCITY DECLINE,10,17.04,"Velocity for Brand C XL Wild at Walmart declined 17.04% week-over-week, below 10% threshold.",Open,,,
ALERT-20241116-0046,2024-11-16 08:00:00,OOS_BREACH,High,SKU-B04,Costco,OOS BREACH,5,10.06,OOS rate 10.06% at Costco exceeded 5% threshold for Brand B 16oz Premium. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20241116-0074,2024-11-16 08:00:00,VELOCITY_DECLINE,Medium,SKU-C02,Kroger,VELOCITY DECLINE,10,12.76,"Velocity for Brand C 8oz Bold at Kroger declined 12.76% week-over-week, below 10% threshold.",Resolved,sarah.jones@company.com,Please review and take action.,2024-11-17 00:00:00
ALERT-20241109-0120,2024-11-09 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A02,Amazon,DISTRIBUTION LOSS,5,7.07,ACV distribution for Brand A 8oz Bold at Amazon dropped 7.07 points. Possible delist or planogram reset.,Open,,,
ALERT-20241102-0087,2024-11-02 08:00:00,OOS_BREACH,High,SKU-B05,Walmart,OOS BREACH,5,6.91,OOS rate 6.91% at Walmart exceeded 5% threshold for Brand B 24oz Classic. DC safety stock may be depleted.,Open,,,
ALERT-20241019-0067,2024-10-19 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B03,CVS,DISTRIBUTION LOSS,5,12.9,ACV distribution for Brand B 12oz Lite at CVS dropped 12.9 points. Possible delist or planogram reset.,Open,,,
ALERT-20241012-0075,2024-10-12 08:00:00,PROMO_ROI_MISS,Medium,SKU-A03,Costco,PROMO ROI MISS,1,0.21,Promo ROI for Brand A 12oz Lite at Costco came in at 0.21x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20241005-0069,2024-10-05 08:00:00,VELOCITY_DECLINE,Medium,SKU-B05,Walmart,VELOCITY DECLINE,10,15.96,"Velocity for Brand B 24oz Classic at Walmart declined 15.96% week-over-week, below 10% threshold.",Open,,,
