alert_id,alert_timestamp,alert_type,severity,sku_id,retailer_name,metric_name,threshold_value,actual_value,root_cause_narrative,status,assigned_to,assignment_comment,resolved_timestamp
ALERT-20250215-0002,2025-02-15 08:00:00,VELOCITY_DECLINE,Medium,SKU-C02,Walmart,VELOCITY DECLINE,10,10.67,Velocity for Silke Volumizing Conditioner 12oz at Walmart declined 10.67% week-over-week vs. 10% alert threshold. Possible competitive distribution gain or shelf reset.,Resolved,sarah.jones@company.com,Please review and take action.,2025-02-17 00:00:00
ALERT-20250201-0001,2025-02-01 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B05,Walmart,DISTRIBUTION LOSS,5,7.48,ACV distribution for Bolt Classic Energy Blend 24oz at Walmart dropped 7.48 points vs. prior period. Verify item status and planogram compliance with buyer.,Open,,,
ALERT-20250201-0056,2025-02-01 08:00:00,OOS_BREACH,High,SKU-C02,Walmart,OOS BREACH,5,8.83,OOS rate 8.83% at Walmart exceeded 5% threshold for Silke Volumizing Conditioner 12oz. Promotional demand spike may have depleted DC safety stock.,Open,,,
ALERT-20250125-0051,2025-01-25 08:00:00,VELOCITY_DECLINE,Medium,SKU-C04,Walmart,VELOCITY DECLINE,10,13.84,Velocity for Silke Premium Repair Mask 16oz at Walmart declined 13.84% week-over-week vs. 10% alert threshold. Possible competitive distribution gain or shelf reset.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20250104-0013,2025-01-04 08:00:00,OOS_BREACH,High,SKU-B04,Walmart,OOS BREACH,5,6.85,OOS rate 6.85% at Walmart exceeded 5% threshold for Bolt Blue Raspberry Energy 16oz Can. Promotional demand spike may have depleted DC safety stock.,Assigned,mike.chen@company.com,Please review and take action.,
ALERT-20241130-0077,2024-11-30 08:00:00,OOS_BREACH,High,SKU-C05,Walmart,OOS BREACH,5,9.44,OOS rate 9.44% at Walmart exceeded 5% threshold for Silke Classic 2-in-1 Shampoo+Cond 24oz. Promotional demand spike may have depleted DC safety stock.,Open,,,
ALERT-20241026-0059,2024-10-26 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C10,Walmart,DISTRIBUTION LOSS,5,6.28,ACV distribution for Silke XL Family Shampoo 48oz at Walmart dropped 6.28 points vs. prior period. Verify item status and planogram compliance with buyer.,Open,,,
ALERT-20240928-0031,2024-09-28 08:00:00,OOS_BREACH,High,SKU-C05,Walmart,OOS BREACH,5,9.44,OOS rate 9.44% at Walmart exceeded 5% threshold for Silke Classic 2-in-1 Shampoo+Cond 24oz. Promotional demand spike may have depleted DC safety stock.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240907-0060,2024-09-07 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C07,Walmart,DISTRIBUTION LOSS,5,6.61,ACV distribution for Silke Max Salon Kit Shampoo+Cond 6pk at Walmart dropped 6.61 points vs. prior period. Verify item status and planogram compliance with buyer.,Open,,,
ALERT-20240831-0020,2024-08-31 08:00:00,OOS_BREACH,High,SKU-A09,Walmart,OOS BREACH,5,5.97,OOS rate 5.97% at Walmart exceeded 5% threshold for Apex Value Mix Party Pack 36oz. Promotional demand spike may have depleted DC safety stock.,Open,,,
ALERT-20240810-0021,2024-08-10 08:00:00,PROMO_ROI_MISS,Medium,SKU-A07,Walmart,PROMO ROI MISS,1,0.51,Promo ROI for Apex Max Variety Pack 6ct at Walmart came in at 0.51x vs. 1x target. Trade spend efficiency is below breakeven.,Assigned,john.smith@company.com,Please review and take action.,
ALERT-20240727-0005,2024-07-27 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B05,Walmart,DISTRIBUTION LOSS,5,11.08,ACV distribution for Bolt Classic Energy Blend 24oz at Walmart dropped 11.08 points vs. prior period. Verify item status and planogram compliance with buyer.,Assigned,john.smith@company.com,Please review and take action.,
ALERT-20240720-0078,2024-07-20 08:00:00,OOS_BREACH,High,SKU-B04,Walmart,OOS BREACH,5,9.92,OOS rate 9.92% at Walmart exceeded 5% threshold for Bolt Blue Raspberry Energy 16oz Can. Promotional demand spike may have depleted DC safety stock.,Open,,,
